Profile,Player,Position,Season,Year,Team,Number,Games,Goals,Assists,Penalties,Shots,Wins,Losses,Shootouts,Goals_against,Saves,Saves_percentage,Goals_against_average,Shutouts,Icetime,Icetime_seconds
https://en.khl.ru/players/4089/,Alexander Vyukhin,Goalie,Regular season,2008/2009,Severstal (Cherepovets),35.0,29,0,0,6,740,7,15,3,87,653,88.2,3.5,1,1490:23,89423
https://en.khl.ru/players/14273/,Steve Valiquette,Goalie,Regular season,2010/2011,CSKA (Moscow),40.0,35,0,0,4,899,9,16,5,93,806,89.7,2.94,2,1896:56,113816
https://en.khl.ru/players/14824/,Dmitry Voloshin,Goalie,Regular season,2010/2011,Metallurg (Magnitogorsk),30.0,1,0,0,0,24,0,1,0,4,20,83.3,4.0,0,60:00,3600
https://en.khl.ru/players/14824/,Dmitry Voloshin,Goalie,Regular season,2009/2010,Metallurg (Magnitogorsk),25.0,1,0,0,0,0,0,0,0,0,0,,0.0,0,6:07,367
https://en.khl.ru/players/5652/,Andrei Vasilyev,Goalie,Regular season,2008/2009,Khimik (Voskresensk),20.0,25,0,0,0,761,4,17,3,81,680,89.4,3.27,0,1486:48,89208
https://en.khl.ru/players/14598/,Petri Vehanen,Goalie,Playoffs,2013/2014,Lev (Praha),35.0,20,0,0,0,550,13,6,0,45,505,91.8,2.12,3,1275:49,76549
https://en.khl.ru/players/14598/,Petri Vehanen,Goalie,Regular season,2013/2014,Lev (Praha),35.0,41,0,0,2,1009,20,13,8,69,940,93.2,1.66,4,2495:22,149722
https://en.khl.ru/players/14598/,Petri Vehanen,Goalie,Playoffs,2011/2012,Ak Bars (Kazan),35.0,12,0,0,2,422,6,6,0,24,398,94.3,1.85,1,777:32,46652
https://en.khl.ru/players/14598/,Petri Vehanen,Goalie,Regular season,2011/2012,Ak Bars (Kazan),35.0,42,0,0,0,1050,16,17,5,88,962,91.6,2.35,2,2250:09,135009
https://en.khl.ru/players/14598/,Petri Vehanen,Goalie,Playoffs,2010/2011,Ak Bars (Kazan),35.0,9,0,0,0,279,5,4,0,12,267,95.7,1.32,3,543:49,32629
